id,text,CE,ENV,BME,PE,METAL,ME,EE,CPE,OPTIC,NANO,CHE,MATENG,AGRI,EDU,IE,SAFETY,MATH,MATSCI
011,investigation infrastructure maintenance cost intercity railway infrastructure rail system requires considerable investment construction maintenance many country railway operator share capacity railroad achieve efficient infrastructure usage development railway network system possible separating management infrastructure rolling stock operation necessary know cost factor affect cost infrastructure including government budget subsidy basis track utilization charge cost infrastructure construction maintenance route section representing different traffic characteristic using record maintenance cost telecommunication signalling system range million baht per per station annual maintenance cost railway track baht per track per kilometre traffic density main factor influenced maintenance cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
012,unknown input nonlinear observer soft pneumatic robotic gripper application due complex dynamic soft pneumatic robotic gripper system difficult accurately control behavior ensure stable grasping object unknown input nonlinear observer used estimate unknown input system gripper deformation position state parameter dynamic model soft pneumatic robotic gripper system developed unknown input nonlinear observer defined applied system demonstration applying technique next simulation system observer implemented matlab simulation result unknown input nonlinear observer used accurately estimate unknown input system state parameter estimated information used control gripper behavior ensure stable grasping object,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
013,spark framework real time analytic multiple heterogeneous data stream real time streaming application multiple heterogeneous data stream increasingly popular iot application however many issue still exist deploying maintaining large amount data stream using spark structured streaming introduces spark streaming framework multiple heterogeneous data stream allows deployment multiple heterogeneous data stream processing single spark application reducing deployment difficulty coding redundancy monitoring difficulty solving problem inefficient job queueing multi stream application,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
014,experiment simulation heavy oil production steam flooding heterogeneous reservoir heavy oil long known main energy source due huge amount reserve heavy oil production reservoir characteristic like permeability reservoir pressure oil viscosity difficulty produce oil high viscosity practical technology produce heavy oil use steam steam flooding method reduce oil viscosity however huge energy consumption steam flooding operation impact operating cost life measure viscosity correlate result temperature simulate oil production using star cmg program effect parameter like distance injection rate permeability oil production investigated simulation result oil viscosity permeability play role heavy oil production higher oil recovery obtained steam injection rate shorten spacing condition applied use real field heavy oil production major benefit practice reduce steam consumption fuel cost oil production extending economic life,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
015,rechargeable zinc ion battery based choline chloride urea deep eutectic solvent cost high safety environmental friendliness zinc ion battery zib receiving enormous attention aqueous based zib focus attention however issue regarding hydrogen evolution zinc electrode passivation dendrite formation limit practical application work biocompatible stable low cost choline chloride urea chcl urea deep eutectic solvent reported alternative electrolyte rechargeable zib based delta type manganese oxide mno intercalation electrode behavior zinc electrode stripping deposition chcl urea electrolyte examined besides charge storage charge transfer characteristic battery result showed sign dendrite formation zinc electrode long term cycling fabricated battery exhibited good electrochemical performance maximum specific capacity mah g good cyclability addition system showed reversible plating stripping zinc zn without dendrite formation passivation layer zinc electrode hence result confirmed reversible intercalation zn deep eutectic solvent chcl urea mno electrode overall proposed electrolyte show good promise zn mno battery system,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
016,gelation process physicochemical property silk fibroin hydrogel induced anionic surfactant controlled release curcumin aocshydrogels based silk fibroin sf prepared induction anionic surfactant including sodium octyl sulfate so sodium dodecyl sulfate sd sodium tetradecyl sulfate sts similar chemical structure different alkyl chain length charge effect anionic surfactant type concentration gelation mechanism time sf systematically investigated sd sts long alkyl chain length high charge could accelerate gelation sf occur within min concentration dependent manner so short alkyl chain length low charge slowly induced sf gel around h mechanism sf gelation induced anionic surfactant supposed combination hydrophobic electrostatic interaction self transition beta sheet sf sts hydrogel employed encapsulate curcumin controlled release application sf wt sts hydrogel encapsulating curcumin showed slow rate degradation sustained release curcumin hydrogel applied minimal invasive injectable hydrogel hydrogel topical treatment disease,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
017,web based teleoperation system enhanced precision efficiency food industry application development web application teleoperation context food industry leveraging flask python web framework server socket io real time communication mqtt efficient data exchange dropbox secure data storage web application provides remote operation real time monitoring capability plant data storing system consists main component main server acting bridge web client plant controller web client offering user friendly interface communicate main server plant controller responsible controlling plant operation communication main server system successfully integrated cutting food item application featuring cartesian robot depth camera controlled raspberry pi web application enables user initiate plant operation visualize generated image stream camera frame monitor robot position real time system store essential data point cloud array point cloud image object volume dropbox system advantage include python implementation web based accessibility seamless integration iot ecosystem adaptability digital twin concept efficient data storage overall teleoperating system benefit food industry including enhanced precision improved efficiency seamless integration iot ecosystem reliable data storage leveraging advantage food processing operation achieve higher quality standard increased productivity informed decision making ultimately leading improved customer satisfaction business success,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
018,inventive problem solving automotive part defective reduction computing machinery innovative solution using triz reduce four highest defective part new automotive model yield supplier part defective rate dmaic six sigma applied solve problem team established reduce defective rate achieve production performance kpi define scope set pareto chart identified main focused problem measure related precision accuracy component part specification process capability component part manufacturer lower target selected effect diagram conducted component possible cause problem specify factor effected process mean process variation summarized root cause fmea performed confirm current process control factor statistical hypothesis testing used prove main factor affect process inconsistency part improve triz applied quick accurate idea generating excellence decision making alternative solution resolve technical contradiction pugh matrix adopted improve solution logically establish criterion select efficient idea control performed overall defectives reduced ppm ppm approximately compared defectives ago,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
019,enhance accuracy hierarchical text categorization based deep learning network using embedding strategy hierarchical text categorization task assign predefined category text document hierarchical constraint deep learning technique shown many success result field text categorization previous work shared hidden layer neural network shl nn shown sharing information level improve performance model however work based sequence unsupervised word embedding vector performance limited propose supervised document embedding specifically designed hierarchical text categorization based autoencoder trained word label enhance embedding vector document embedding strategy invented utilize class hierarchy information training process transfer prediction parent class shared information technique improved flexible efficient experiment conducted standard benchmark wipo c wipo wiki comparing baseline shl nn top based svm framework tf idf input hr svm result proposed model outperforms baseline term f macro,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
020,recommendation system household remedy using ontology journal medical science right reserved selecting proper household remedy symptom essential challenge citizen confront situation everyday life besides diversity available medicine retail market lack reliable documentation healthcare system cause inconvenience citizen healthcare information limited accessibility citizen effortless way dispersion data service lead cost raising increased medical error skillful medicine recommendation system initiate household remedy thr index medical specialty mims information devise household remedy ontology model relationship personal information indication illness symptom related household remedy medication model allows ontology inference knowledge discovery aid selecting proper medication diagnosed symptom correlate thr mims patient personal information purpose determine semantical relationship among symptom medicine dose drug interaction taken indication generally medicine selected symptom dose personalized patient development evaluated satisfactory performance system review citizen show household remedy recommendation system useful approach help citizen reaching proper household remedy medicine,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
021,performance machine learning technique intrusion detection computing machinery performance machine learning technique intrusion detection analyze time build retrain model used intrusion detection system machine learning branch computer science allows computer learn without programming sequence technique applied detect new threat never seen due large volume security audit data complex dynamic property intrusion behavior optimizing accuracy id becomes important open problem receiving attention community however performance time space required usually ignored allows administrator work decision select proper hardware intrusion detection environment proposed model estimating time build model vector equation cut point provided determining minimum number cpu required building decision tree model vector machine model,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
022,deep learning using risk reward function stock market prediction computing machinery many study attempted apply deep learning approach build model stock market prediction study concentrated using prediction accuracy performance metric performed trading simulation evaluate financial performance however financial performance improved loss function used training process focused primarily prediction accuracy propose new framework train deep neural network stock market prediction new loss function developed adding risk reward function derived trading simulation result new scoring metric sharpe f score combination sharpe ratio f score used model selection employ prediction model previous work consists convolutional neural network cnn long short term memory network lstm architecture take event embedding vector historical price set technical indicator input robustness framework evaluated datasets key parameter used proposed framework result financial performance improved adding risk reward function loss function used training process,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
023,dimensional lower bound finite element limit anisotropic undrained strength criterion using second order cone programming ltdthis describes formulation second order cone programming dimensional lower bound finite element limit cross anisotropic undrained strength criterion dimensional generalized yield criterion accounting cross anisotropic undrained strength clay proposed requires four input shear strength triaxial compression extension direct simple shear pressuremeter test proposed formulation verified prediction compression anisotropic soil block importance undrained strength anisotropy demonstrated analysis undrained bearing capacity strip circular square footing anisotropic clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
024,techno economic hydrogen production dehydrogenation steam reforming ethanol carbon dioxide conversion methanol hydrogen energy publication llcdecreasing carbon dioxide co emission converting higher valued product interest hydrogen h important feedstock required thermochemical conversion co chemical methanol cost availability h affect cost co conversion focused process simulation h production ethanol feedstock steam reforming ethanol compared dehydrogenation ethanol h valued product including ethyl acetate acetaldehyde form steam reforming ethanol lowest cost h production usd kg h dehydrogenation ethanol cost usd kg h although presenting lowest cost steam reforming ethanol provides net co emission overall co conversion methanol process contrast ethanol dehydrogenation h byproduct ethyl acetate acetaldehyde promotes net co emission kg ton methanol kg ton methanol result co emission cost h production,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
025,scenario municipal solid waste management mitigating greenhouse gas emission case supermarket computing machinery consequence rapid urbanization population growth many city face issue waste management landfill approach generally decided handling municipal solid waste impact environment land occupation global warming commercial building play importance role economic environmental aspect supermarket located community mall selected case towards sustainable city current msw management system supermarket order quantify environmental performance propose suitable option improving municipal solid waste management business asusual tco e emitted annually landfilling waste supermarket however waste management improved recycling plus bio gasification approach tco e emitted landfilling tco e reduced due activity relevant recycling bio gasification process applying approach provides benefit economic term usd result could inspire another commercial building others sector adopting waste management practice together creating network sustainable city suitable waste management system,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
026,integration biorefinery concept development sustainable process pulp industry work developing sustainable process pulp industry integration biorefinery concept existing pulp process systematic employing superstructure based process synthesis approach employed computer aided tool determine potential pathway long term sustainable growth superstructure multi product biorefinery process network pulp industry developed divided sub network chemical pulping section biochemical production section black liquor utilization section superstructure optimization performed maximize profit determine optimal integrated network scenario obtained result provide useful insight development optimal network sustainable integrated biorefinery combined pulp mill,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
027,relative permeability wetting condition sandstone low salinity waterflooding waterflooding generally performed maintain reservoir pressure consequence production period extended however conventional waterflooding suitable every reservoir low salinity waterflooding lsw mentioned technique considered although clear explanation oil recovery mechanism available key mechanism multi component ion exchange mie ass relative permeability wetting condition sandstone formation oilfield mie mechanism divided major part part laboratory including core fluid preparation imbibition test coreflooding test ion exchange detection laboratory data including fluid production rate pressure difference time obtained core simulation using reservoir simulation program star commercialized computer modelling group cmg performed change wetting condition shifting relative permeability obtaining result would help verifying suitability implementation technique oilfield result imbibition test showed lsw yield higher oil recovery factor compared formation water diluted formation water ppm approximately third formation water water formulation yielding fastest rate imbibition ion exchange detection test result showed variation divalent ion concentration compared injected water presence calcium magnesium ion oil phase support occurrence mie displacement mechanism theoretical model matching physical data using reservoir simulation program indicates lsw slightly affect original wetting condition water wetness lessened observed increment relative permeability water end point saturation lsw reduces residual oil saturation time increase relative permeability oil detection mie together observation wetting condition core simulation concluded lsw promising technique oilfield produced water must reinjected back reservoir based zero discharge regulation government low cost technique diluting water salinity prior reinjection would fulfil requirement government time help oil recovery total field,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
028,classification advertisement text facebook using synthetic minority sampling technique computing machinery understanding consumer behavior important task field marketing dentsu aisas model model proposed describe consumer behavior model defines reaction consumer seen advertising five stage attention interest search action share advertisement text datasets facebook labelled stage aisas model learned classified machine learning algorithm like many real world data dataset imbalanced class distribution classifier algorithm predict mostly majority class overcome problem synthetic minority sampling technique smote adopted combined chi square based feature selection technique variety feature size based classifier algorithm compared appropriate feature size smote could improve classification performance term recall f score,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
029,exploring network vulnerability corporate security operation nature pte user credential often serve entry point organization network information asset managed identity mean greater control user access would lead reduced risk internal external breach apply elastic stack security monitoring analytics elastic stack formerly known elk open source product known powerful platform log management analytics solution preliminary experiment carried mean log procedure malicious traffic monitoring explore vulnerability weakness network failure illegitimate access information asset experimental result would feedback establishing corporate policy regulation implementing house preventive security operation,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
030,effect cell triangular microwell size cell trapping efficacy specificity ksme single double multiple cell entrapment efficacy crucial aspect biological study computational experimental approach conducted explore effect cell microwell size ability cell trapping triangular microwell computational study interaction spanwise vortex upper part counter rotating streamwise vortex leading edge helped form pair secondary streamwise vortex deeper inside microwell strength size secondary streamwise vortex depended size microwell played important role arrangement entrapped cell experimental result microbeads white blood cell wbc good agreement simulated one ratio cell microwell size important factor efficacy single double multiple cell cell trapping entrapment canine wbc size distribution attained highest single cell trapping efficiency array triangular microwells depth flow rate ml h reduced microwells condition,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
031,determination appropriate size battery backup system generation system ieeenowadays power system many country high renewable energy penetration renewable energy le impact environment issue however unpredictability uncontrollability power system le reliable need backup power using responsive conventional power plant difficult manage problem battery energy storage quick receives high interest determine appropriate size battery backup system generation system appropriate size battery determined using generation system reliability concept reliability index api aei considered calculated using monte carlo simulation regional power system used test system obtained result region required different size battery amount renewable energy generation load region,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
032,comparative local gas liquid hydrodynamics mass transfer conventional modified airlift reactor right reserved modified airlift reactor malr developed improving oxygen transfer coefficient kla installing slanted baffle riser compartment malr enhance kla compared regular reactor however insufficient hydrodynamics oxygen transfer parameter new reactor performed date analyse local gas liquid dynamic evaluate oxygen transfer performance malr compared regular reactor using clean water liquid phase air bubble distribution employed term bubble diameter rising velocity interfacial area slanted baffle maintained bubble size superficial gas velocity ug smaller airlift reactor alr approximately bubble rising velocity ub relatively increased ug reactor class new reactor could extend bubble residence water lengthening bubble stream path slanted baffle leading ub value compared bubble column reactor bcr alr performance resulted interfacial area almost time higher regular reactor oxygen transfer improved malr extra amount oxygen transfer efficiency bcr alr resulted highest aeration efficiency ae compared examined reactor following trendline expression ae ug insertion slanted baffle produced dead zone volume alr bcr conclusion malr enhance oxygen transfer performance due ability maintain bubble size extend gas liquid transfer period,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
033,image enhancement quality assessment method turbid water review article underwater imaging system drawing attention past decade application ocean exploration underwater vehicle intelligent fishing becoming popular newer technique need fulfill demand receiving clearer finer quality underwater image improved information within underwater image enhancement system capable improving quality image suffers low light unbalanced color revised variety assessment method regarding category information evaluation highlighted,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
034,raman spectroscopy insb nano stripe grown gasb substrate molecular beam epitaxy raman peak shift magnetic field report raman spectroscopy self assembled insb nano stripe grown gasb substrate molecular beam epitaxy nano stripe truncated pyramidal shape typical dimension nm raman spectroscopy applied probe phonon related property insb nano stripe raman spectroscopy show slight redshift insb related phonon peak excitation wavelength increased magnetic field applied blueshifts peak observed transmission electron microscopy utilized relate structural information insb nano stripe raman property,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
035,growth related photoluminescence property insb gaas self assembled quantum dot grown ge substrate photoluminescence pl spectroscopy applied growth related property self assembled insb gaas quantum dot qds grown ge substrate obtained qds rectangular based shape mainly locate near gaas antiphase domain boundary apbs formed growth gaas ge substrate morphology structural property insb qds varied change controlled growth condition optical phonons scattering embedded insb qds raman spectroscopy low temperature pl emission energy insb gaas qds range ev power dependent pl spectroscopy confirms type ii band alignment system thermal activation energy mev mev extracted temperature dependent pl spectroscopy k polarization dependent pl spectroscopy performed exhibit polarization degree attributed shape anisotropy buried insb qds,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1
036,implementation microservice based network traffic logger proceeding workshop computer science engineering wcse right reserved benefit information security data storage management often performed supervision official regulation iso iec topic addressing operation security specifies requirement logging monitoring record event generate evidence vast amount traffic flowing internet continues grow implementation network traffic logger using microservices promote scalability enables isolated upgrade new feature without necessarily disrupting service team developing service assistance microservice architecture log management system would easily managed scaled,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
037,dynamic programming approach optimal maintenance scheduling substation equipment life cycle cost reliability ieeeasset management transmission system essential issue smart grid condition monitoring system maintenance planning maintenance scheduling important part asset management scheduling affect reliability equipment reliability substation system life cycle cost lcc since equipment substation hardly fails operate information failure yet systematically recorded focus long term maintenance based available data historical planning operation data particular weibull distribution model used estimate reliability function equipment maintenance planning lead different final condition effective age equipment propose optimal maintenance planning conjunction specified final condition equipment lcc reliability using dynamic programming dp algorithm give minimum lcc satisfying reliability final condition numerical result demonstrate dp approach comparing result using genetic algorithm dp method provides maintenance planning le lcc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
038,efficient conversion fructose hydroxymethylfurfural using organic acid catalytic promoter exclusive part nature hydroxymethylfurfural hmf main chemical building block generate high added biofuels biochemicals produce hmf fructose dehydration biphasic system using organic acid catalytic promoter formic acid acetic acid lactic acid succinic acid levulinic acid among organic acid acetic acid promoter system experimental result showed prominent correlation hmf formation pka higher pka gave rise greater hmf yield lower activity side reaction surface performed identify optimum reaction temperature time promoter concentration fructose dehydration among variable reaction temperature played role fructose conversion hmf yield optimum condition achieve highest hmf yield fructose dehydration c mild concentration acetic acid min graphical figure available see fulltext,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
039,biomass gasification integrated co capture process high purity hydrogen production process performance energy ltdthe performance integrated biomass gasification co capture process produce h rich gas satisfying pemfc specification investigated wood residue cao used biomass feedstock co sorbent modeling integrated process performed using aspen plus effect change major parameter e gasifying temperature carbonation temperature cao c ratio product gas composition investigated h concentration product gas leaving gasifier gasifying temperature increase reach maximum gasifying temperature higher c integrated process h concentration decrease carbonation temperature increase higher c indicates cao c ratio maintained higher ensure generated co completely captured energetic exergetic performance environmental impact integrated process amount recycled co investigated energy conversion efficiency exergy efficiency based h production co c ratio increase co emission show opposite trend maximum exergy efficiency based hydrogen production heat generation achieved co c cao c ratio condition specific emission co g co eqmj energy conversion efficiency achieved,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
040,preferential nucleation guiding blocking self propelled droplet dislocation lattice mismatched layer gaas ingaas grown gaas using molecular beam epitaxy subsequently heated vacuum surface imaged situ using low energy electron microscopy order nucleation group droplet formed noncongruent sublimation ii dynamic self propelled droplet navigate surface interfacial misfit dislocation network influence nucleation site droplet exerts unusual steering power subsequent motion atypical droplet flow pattern including turn direction dislocation guided droplet qualitatively explained term plane plane stress field associated buried dislocation driving force due chemical potential stress gradient typical marangoni flow would benefit process device employ droplet catalyst active structure droplet epitaxy quantum nanostructures vapor liquid solid growth nanowires fabrication self integrated circuit,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
041,reliability unsaturated soil slope stability infiltration hydraulic shear strength parameter part nature general soil property including shear strength hydraulic parameter characterised spatial variability effect spatial variability soil property slope stability rainfall infiltration effective friction angle saturated hydraulic conductivity soil water characteristic curve parameter sand simulated using random field theory seepage conducted using random finite element method obtain pore water pressure distribution stability performed variation safety factor failure probability result random field soil water characteristic curve produce variation pore water pressure random field effective friction angle important parameter probabilistic stability,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
042,evaluation polymer alternating waterflooding multilayered heterogeneous waterflooded reservoir science polymer flooding widely implemented improve oil recovery since polymer sweep efficiency smoothen heterogeneous reservoir profile however polymer solution somewhat difficult injected due high viscosity water slug recommended injected polymer injection order ease injecting viscous fluid wellbore numerical simulation performed determine appropriate operating parameter maximize oil recovery result pre flushed water injected water breakthrough alternating water slug size low polymer slug size concentration polymer slug kept constant recommended number alternative cycle combining operating parameter altogether contributes oil recovery single slug polymer flooding provides equivalent stb oil gain,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
043,real time rollover warning tripped un tripped rollover neural network nearly passenger vehicle accident death rollover crash vehicle stability control system active rollover prevention prevent rollover imminent rollover detected immediately accurate reliable detection active vehicle rollover prevention traditional rollover index detect un tripped rollover however fails detect tripped rollover external input tripping force vehicle striking curb road bump new neural network algorithm detect tripped un tripped rollover needed estimation algorithm determine unknown parameter longer used neural network algorithm us multi variable available sensor vehicle calculate categorize rollover warning level safe low risk high risk algorithm detect tripped un tripped rollover testing scaled vehicle order dynamic similarity scale vehicle full sized vehicle buckingham theorem used experiment result clear neural network algorithm used accurately enable rollover warning tripped un tripped rollover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
044,design robust hierarchical control homogeneous multi agent system parametric uncertainty exogenous disturbance robust control synthesis homogeneous leaderless multi agent system mass subjected parametric uncertainty exogenous disturbance employ approach robust h hierarchical decentralized control approach utilizes linear quadratic performance criterion composes local global term local term represents local control action agent global term deal cooperation among agent formulate design local global feedback control law optimization linear matrix inequality lmi furthermore lmi formulation incorporate specified constraint disturbance attenuation design procedure numerical example provided proposed robust h design approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
045,development characterization bacterial cellulose reinforced natural rubber film bacterial cellulose bc reinforced natural rubber nr remarkably high mechanical strength developed combining prominent mechanical property multilayer bc nanofibrous structural network high elastic hydrocarbon polymer nr bc pellicle immersed diluted nr latex nrl suspension presence ethanol aqueous solution effect nrl concentration dry rubber content drc immersion temperature c film characteristic combination nanocellulose fibrous network nr polymer provided synergistic effect mechanical property nr bc film comparison bc film tensile strength elongation break nr bc film considerably improved fold nr bc film exhibited improved water resistance bc film possessed high resistance non polar solvent toluene nr bc film biodegradable could degraded completely within soil,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
